run_id,repeat_id,split_seed,horizon,target_metric,feature_set,candidate_set,series_id,split
meta_modeling_experiments_v1_20260331T185531Z,1,42,1,rmse,full_features,top_4,RU:ABIO,train
meta_modeling_experiments_v1_20260331T185531Z,1,42,1,rmse,full_features,top_4,RU:ABRD,train
meta_modeling_experiments_v1_20260331T185531Z,1,42,1,rmse,full_features,top_4,RU:AFKS,test
meta_modeling_experiments_v1_20260331T185531Z,1,42,1,rmse,full_features,top_4,RU:AFLT,train
meta_modeling_experiments_v1_20260331T185531Z,1,42,1,rmse,full_features,top_4,RU:AGRO,test
meta_modeling_experiments_v1_20260331T185531Z,1,42,1,rmse,full_features,top_4,RU:AKRN,train
meta_modeling_experiments_v1_20260331T185531Z,1,42,1,rmse,full_features,top_4,RU:ALRS,train
meta_modeling_experiments_v1_20260331T185531Z,1,42,1,rmse,full_features,top_4,RU:AMEZ,validation
meta_modeling_experiments_v1_20260331T185531Z,1,42,1,rmse,full_features,top_4,RU:APTK,train
meta_modeling_experiments_v1_20260331T185531Z,1,42,1,rmse,full_features,top_4,RU:AQUA,train
meta_modeling_experiments_v1_20260331T185531Z,1,42,1,rmse,full_features,top_4,RU:ARSA,train
meta_modeling_experiments_v1_20260331T185531Z,1,42,1,rmse,full_features,top_4,RU:ASSB,train
meta_modeling_experiments_v1_20260331T185531Z,1,42,1,rmse,full_features,top_4,RU:AVAN,train
meta_modeling_experiments_v1_20260331T185531Z,1,42,1,rmse,full_features,top_4,RU:BANE,train
meta_modeling_experiments_v1_20260331T185531Z,1,42,1,rmse,full_features,top_4,RU:BANEP,train
meta_modeling_experiments_v1_20260331T185531Z,1,42,1,rmse,full_features,top_4,RU:BELU,train
meta_modeling_experiments_v1_20260331T185531Z,1,42,1,rmse,full_features,top_4,RU:BISVP,train
meta_modeling_experiments_v1_20260331T185531Z,1,42,1,rmse,full_features,top_4,RU:BLNG,train
meta_modeling_experiments_v1_20260331T185531Z,1,42,1,rmse,full_features,top_4,RU:BRZL,test
meta_modeling_experiments_v1_20260331T185531Z,1,42,1,rmse,full_features,top_4,RU:BSPB,train
meta_modeling_experiments_v1_20260331T185531Z,1,42,1,rmse,full_features,top_4,RU:CBOM,train
meta_modeling_experiments_v1_20260331T185531Z,1,42,1,rmse,full_features,top_4,RU:CHGZ,test
meta_modeling_experiments_v1_20260331T185531Z,1,42,1,rmse,full_features,top_4,RU:CHKZ,train
meta_modeling_experiments_v1_20260331T185531Z,1,42,1,rmse,full_features,top_4,RU:CHMF,train
meta_modeling_experiments_v1_20260331T185531Z,1,42,1,rmse,full_features,top_4,RU:CHMK,test
meta_modeling_experiments_v1_20260331T185531Z,1,42,1,rmse,full_features,top_4,RU:CNTL,test
meta_modeling_experiments_v1_20260331T185531Z,1,42,1,rmse,full_features,top_4,RU:CNTLP,validation
