run_id,repeat_id,split_seed,horizon,target_metric,series_id,split
meta_modeling_v1_20260331T120829Z,1,42,1,rmse,RU:ABIO,train
meta_modeling_v1_20260331T120829Z,1,42,1,rmse,RU:ABRD,train
meta_modeling_v1_20260331T120829Z,1,42,1,rmse,RU:AFKS,test
meta_modeling_v1_20260331T120829Z,1,42,1,rmse,RU:AFLT,train
meta_modeling_v1_20260331T120829Z,1,42,1,rmse,RU:AGRO,test
meta_modeling_v1_20260331T120829Z,1,42,1,rmse,RU:AKRN,train
meta_modeling_v1_20260331T120829Z,1,42,1,rmse,RU:ALRS,train
meta_modeling_v1_20260331T120829Z,1,42,1,rmse,RU:AMEZ,validation
meta_modeling_v1_20260331T120829Z,1,42,1,rmse,RU:APTK,train
meta_modeling_v1_20260331T120829Z,1,42,1,rmse,RU:AQUA,train
meta_modeling_v1_20260331T120829Z,1,42,1,rmse,RU:ARSA,train
meta_modeling_v1_20260331T120829Z,1,42,1,rmse,RU:ASSB,train
meta_modeling_v1_20260331T120829Z,1,42,1,rmse,RU:AVAN,train
meta_modeling_v1_20260331T120829Z,1,42,1,rmse,RU:BANE,train
meta_modeling_v1_20260331T120829Z,1,42,1,rmse,RU:BANEP,train
meta_modeling_v1_20260331T120829Z,1,42,1,rmse,RU:BELU,train
meta_modeling_v1_20260331T120829Z,1,42,1,rmse,RU:BISVP,train
meta_modeling_v1_20260331T120829Z,1,42,1,rmse,RU:BLNG,train
meta_modeling_v1_20260331T120829Z,1,42,1,rmse,RU:BRZL,test
meta_modeling_v1_20260331T120829Z,1,42,1,rmse,RU:BSPB,train
meta_modeling_v1_20260331T120829Z,1,42,1,rmse,RU:CBOM,train
meta_modeling_v1_20260331T120829Z,1,42,1,rmse,RU:CHGZ,test
meta_modeling_v1_20260331T120829Z,1,42,1,rmse,RU:CHKZ,train
meta_modeling_v1_20260331T120829Z,1,42,1,rmse,RU:CHMF,train
meta_modeling_v1_20260331T120829Z,1,42,1,rmse,RU:CHMK,test
