run_id,repeat_id,split_seed,method,model,horizon,target_metric,feature_set,candidate_set,object_id,series_id,fold_id,balancing_mode,decision_rule,confidence_threshold,selected_model,oracle_model,best_single_model,achieved_metric,oracle_metric,baseline_metric,improvement_vs_best_single,gap_to_oracle,selected_meta_model
meta_modeling_experiments_v2_20260427T201325Z,1,42,classification,logistic_regression,1,directional_accuracy,full,top_3,RU:ABIO|h1|f1,RU:ABIO,1,default,top_1,,transient_chaotic_esn,transient_chaotic_esn,esn,0.5,0.5,0.4834710743801653,0.01652892561983471,0.0,logistic_regression
meta_modeling_experiments_v2_20260427T201325Z,1,42,classification,logistic_regression,1,directional_accuracy,full,top_3,RU:ABIO|h1|f2,RU:ABIO,2,default,top_1,,esn,esn,esn,0.5371900826446281,0.5371900826446281,0.5371900826446281,0.0,0.0,logistic_regression
meta_modeling_experiments_v2_20260427T201325Z,1,42,classification,logistic_regression,1,directional_accuracy,full,top_3,RU:ABIO|h1|f3,RU:ABIO,3,default,top_1,,esn,ridge_lag,esn,0.4669421487603306,0.4896694214876033,0.4669421487603306,0.0,0.022727272727272707,logistic_regression
meta_modeling_experiments_v2_20260427T201325Z,1,42,classification,logistic_regression,1,directional_accuracy,full,top_3,RU:AFKS|h1|f1,RU:AFKS,1,default,top_1,,esn,ridge_lag,esn,0.4793388429752066,0.49586776859504134,0.4793388429752066,0.0,0.01652892561983471,logistic_regression
meta_modeling_experiments_v2_20260427T201325Z,1,42,classification,logistic_regression,1,directional_accuracy,full,top_3,RU:AFKS|h1|f2,RU:AFKS,2,default,top_1,,ridge_lag,ridge_lag,esn,0.5247933884297521,0.5247933884297521,0.5,0.024793388429752095,0.0,logistic_regression
meta_modeling_experiments_v2_20260427T201325Z,1,42,classification,logistic_regression,1,directional_accuracy,full,top_3,RU:AFKS|h1|f3,RU:AFKS,3,default,top_1,,ridge_lag,ridge_lag,esn,0.5247933884297521,0.5247933884297521,0.512396694214876,0.012396694214876103,0.0,logistic_regression
meta_modeling_experiments_v2_20260427T201325Z,1,42,classification,logistic_regression,1,directional_accuracy,full,top_3,RU:APTK|h1|f1,RU:APTK,1,default,top_1,,transient_chaotic_esn,ridge_lag,esn,0.49793388429752067,0.5475206611570248,0.4896694214876033,0.008264462809917383,0.049586776859504134,logistic_regression
meta_modeling_experiments_v2_20260427T201325Z,1,42,classification,logistic_regression,1,directional_accuracy,full,top_3,RU:APTK|h1|f2,RU:APTK,2,default,top_1,,ridge_lag,ridge_lag,esn,0.47520661157024796,0.47520661157024796,0.44421487603305787,0.03099173553719009,0.0,logistic_regression
meta_modeling_experiments_v2_20260427T201325Z,1,42,classification,logistic_regression,1,directional_accuracy,full,top_3,RU:APTK|h1|f3,RU:APTK,3,default,top_1,,ridge_lag,ridge_lag,esn,0.47107438016528924,0.47107438016528924,0.45661157024793386,0.01446280991735538,0.0,logistic_regression
meta_modeling_experiments_v2_20260427T201325Z,1,42,classification,logistic_regression,1,directional_accuracy,full,top_3,RU:CNTLP|h1|f1,RU:CNTLP,1,default,top_1,,esn,esn,esn,0.4772727272727273,0.4772727272727273,0.4772727272727273,0.0,0.0,logistic_regression
meta_modeling_experiments_v2_20260427T201325Z,1,42,classification,logistic_regression,1,directional_accuracy,full,top_3,RU:CNTLP|h1|f2,RU:CNTLP,2,default,top_1,,esn,ridge_lag,esn,0.3739669421487603,0.42768595041322316,0.3739669421487603,0.0,0.05371900826446285,logistic_regression
meta_modeling_experiments_v2_20260427T201325Z,1,42,classification,logistic_regression,1,directional_accuracy,full,top_3,RU:CNTLP|h1|f3,RU:CNTLP,3,default,top_1,,esn,esn,esn,0.4793388429752066,0.4793388429752066,0.4793388429752066,0.0,0.0,logistic_regression
meta_modeling_experiments_v2_20260427T201325Z,1,42,classification,logistic_regression,1,directional_accuracy,full,top_3,RU:ELFV|h1|f1,RU:ELFV,1,default,top_1,,transient_chaotic_esn,esn,esn,0.5,0.5082644628099173,0.5082644628099173,-0.008264462809917328,0.008264462809917328,logistic_regression
meta_modeling_experiments_v2_20260427T201325Z,1,42,classification,logistic_regression,1,directional_accuracy,full,top_3,RU:ELFV|h1|f2,RU:ELFV,2,default,top_1,,ridge_lag,esn,esn,0.47520661157024796,0.5165289256198347,0.5165289256198347,-0.041322314049586695,0.041322314049586695,logistic_regression
meta_modeling_experiments_v2_20260427T201325Z,1,42,classification,logistic_regression,1,directional_accuracy,full,top_3,RU:ELFV|h1|f3,RU:ELFV,3,default,top_1,,ridge_lag,ridge_lag,esn,0.5103305785123967,0.5103305785123967,0.46487603305785125,0.04545454545454547,0.0,logistic_regression
meta_modeling_experiments_v2_20260427T201325Z,1,42,classification,logistic_regression,1,directional_accuracy,full,top_3,RU:HIMCP|h1|f1,RU:HIMCP,1,default,top_1,,esn,esn,esn,0.4669421487603306,0.4669421487603306,0.4669421487603306,0.0,0.0,logistic_regression
meta_modeling_experiments_v2_20260427T201325Z,1,42,classification,logistic_regression,1,directional_accuracy,full,top_3,RU:HIMCP|h1|f2,RU:HIMCP,2,default,top_1,,esn,transient_chaotic_esn,esn,0.5206611570247934,0.5227272727272727,0.5206611570247934,0.0,0.0020661157024792765,logistic_regression
meta_modeling_experiments_v2_20260427T201325Z,1,42,classification,logistic_regression,1,directional_accuracy,full,top_3,RU:HIMCP|h1|f3,RU:HIMCP,3,default,top_1,,esn,transient_chaotic_esn,esn,0.4690082644628099,0.4793388429752066,0.4690082644628099,0.0,0.010330578512396715,logistic_regression
meta_modeling_experiments_v2_20260427T201325Z,1,42,classification,logistic_regression,1,directional_accuracy,full,top_3,RU:HYDR|h1|f1,RU:HYDR,1,default,top_1,,esn,transient_chaotic_esn,esn,0.493801652892562,0.512396694214876,0.493801652892562,0.0,0.018595041322313988,logistic_regression
meta_modeling_experiments_v2_20260427T201325Z,1,42,classification,logistic_regression,1,directional_accuracy,full,top_3,RU:HYDR|h1|f2,RU:HYDR,2,default,top_1,,ridge_lag,esn,esn,0.4834710743801653,0.5289256198347108,0.5289256198347108,-0.04545454545454547,0.04545454545454547,logistic_regression
